PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
23,0x000a,-2.779,0x00000000,2025-12-14T15:09:51.692Z,2025-12-14T15:09:51.692Z
22,0x000a,-2.32458,0x00000000,2025-12-14T15:09:51.692Z,2025-12-14T15:09:51.692Z
21,0x000a,-0.00214589,0x00000000,2025-12-14T15:09:51.692Z,2025-12-14T15:09:51.692Z
7,0x0004,13906,0x00000000,2025-12-14T15:09:51.692Z,2025-12-14T15:09:51.692Z
7,0x0004,13741,0x00000000,2025-12-14T15:09:51.793Z,2025-12-14T15:09:51.793Z
42,0x0001,true,0x00000000,2025-12-14T15:09:51.891Z,2025-12-14T15:09:51.891Z
38,0x000a,-0.596786,0x00000000,2025-12-14T15:09:51.891Z,2025-12-14T15:09:51.891Z
36,0x000a,-1.3895,0x00000000,2025-12-14T15:09:51.891Z,2025-12-14T15:09:51.891Z
35,0x000a,-2.0629,0x00000000,2025-12-14T15:09:51.891Z,2025-12-14T15:09:51.891Z
34,0x000a,-0.00107295,0x00000000,2025-12-14T15:09:51.891Z,2025-12-14T15:09:51.891Z
23,0x000a,-1.3895,0x00000000,2025-12-14T15:09:51.891Z,2025-12-14T15:09:51.891Z
22,0x000a,-2.0629,0x00000000,2025-12-14T15:09:51.891Z,2025-12-14T15:09:51.891Z
21,0x000a,-0.00107295,0x00000000,2025-12-14T15:09:51.891Z,2025-12-14T15:09:51.891Z
38,0x000a,0,0x00000000,2025-12-14T15:09:51.992Z,2025-12-14T15:09:51.992Z
36,0x000a,-0.69475,0x00000000,2025-12-14T15:09:51.992Z,2025-12-14T15:09:51.992Z
35,0x000a,-1.32984,0x00000000,2025-12-14T15:09:51.992Z,2025-12-14T15:09:51.992Z
34,0x000a,-0.000536473,0x00000000,2025-12-14T15:09:51.992Z,2025-12-14T15:09:51.992Z
23,0x000a,-0.69475,0x00000000,2025-12-14T15:09:51.992Z,2025-12-14T15:09:51.992Z
22,0x000a,-1.32984,0x00000000,2025-12-14T15:09:51.992Z,2025-12-14T15:09:51.992Z
21,0x000a,-0.000536473,0x00000000,2025-12-14T15:09:51.992Z,2025-12-14T15:09:51.992Z
36,0x000a,-0.347375,0x00000000,2025-12-14T15:09:52.090Z,2025-12-14T15:09:52.090Z
35,0x000a,-0.664921,0x00000000,2025-12-14T15:09:52.090Z,2025-12-14T15:09:52.090Z
34,0x000a,-0.000268236,0x00000000,2025-12-14T15:09:52.090Z,2025-12-14T15:09:52.090Z
23,0x000a,-0.347375,0x00000000,2025-12-14T15:09:52.090Z,2025-12-14T15:09:52.090Z
22,0x000a,-0.664921,0x00000000,2025-12-14T15:09:52.090Z,2025-12-14T15:09:52.090Z
21,0x000a,-0.000268236,0x00000000,2025-12-14T15:09:52.090Z,2025-12-14T15:09:52.090Z
42,0x0001,false,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
40,0x0001,false,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
36,0x000a,-0.173687,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
35,0x000a,-0.332461,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
34,0x000a,-0.000134118,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
23,0x000a,-0.173687,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
22,0x000a,-0.332461,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
21,0x000a,-0.000134118,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
18,0x0001,true,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
16,0x0001,true,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
14,0x0001,true,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
4,0x000a,0,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
3,0x000a,0,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
2,0x000a,0,0x00000000,2025-12-14T15:09:52.192Z,2025-12-14T15:09:52.192Z
36,0x000a,-0.0868437,0x00000000,2025-12-14T15:09:52.289Z,2025-12-14T15:09:52.289Z
35,0x000a,-0.16623,0x00000000,2025-12-14T15:09:52.289Z,2025-12-14T15:09:52.289Z
34,0x000a,-6.70591e-05,0x00000000,2025-12-14T15:09:52.289Z,2025-12-14T15:09:52.289Z
