PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
21,0x000a,-0.000237512,0x00000000,2025-12-14T15:36:43.309Z,2025-12-14T15:36:43.309Z
21,0x000a,-0.000118756,0x00000000,2025-12-14T15:36:43.411Z,2025-12-14T15:36:43.411Z
7,0x0004,10865,0x00000000,2025-12-14T15:36:43.309Z,2025-12-14T15:36:43.309Z
7,0x0004,10699,0x00000000,2025-12-14T15:36:43.411Z,2025-12-14T15:36:43.411Z
38,0x000a,-0.600405,0x00000000,2025-12-14T15:36:43.514Z,2025-12-14T15:36:43.514Z
38,0x000a,0,0x00000000,2025-12-14T15:36:43.611Z,2025-12-14T15:36:43.611Z
36,0x000a,-4.5021e-05,0x00000000,2025-12-14T15:36:43.611Z,2025-12-14T15:36:43.611Z
35,0x000a,-1.24736,0x00000000,2025-12-14T15:36:43.611Z,2025-12-14T15:36:43.611Z
34,0x000a,-5.93779e-05,0x00000000,2025-12-14T15:36:43.611Z,2025-12-14T15:36:43.611Z
23,0x000a,-4.5021e-05,0x00000000,2025-12-14T15:36:43.611Z,2025-12-14T15:36:43.611Z
22,0x000a,-1.24736,0x00000000,2025-12-14T15:36:43.610Z,2025-12-14T15:36:43.610Z
21,0x000a,-5.93779e-05,0x00000000,2025-12-14T15:36:43.610Z,2025-12-14T15:36:43.610Z
42,0x0001,false,0x00000000,2025-12-14T15:36:43.712Z,2025-12-14T15:36:43.712Z
40,0x0001,false,0x00000000,2025-12-14T15:36:43.712Z,2025-12-14T15:36:43.712Z
36,0x000a,-2.25105e-05,0x00000000,2025-12-14T15:36:43.712Z,2025-12-14T15:36:43.712Z
35,0x000a,-0.623682,0x00000000,2025-12-14T15:36:43.712Z,2025-12-14T15:36:43.712Z
34,0x000a,-2.96889e-05,0x00000000,2025-12-14T15:36:43.712Z,2025-12-14T15:36:43.712Z
23,0x000a,-2.25105e-05,0x00000000,2025-12-14T15:36:43.712Z,2025-12-14T15:36:43.712Z
22,0x000a,-0.623682,0x00000000,2025-12-14T15:36:43.708Z,2025-12-14T15:36:43.708Z
21,0x000a,-2.96889e-05,0x00000000,2025-12-14T15:36:43.708Z,2025-12-14T15:36:43.708Z
18,0x0001,true,0x00000000,2025-12-14T15:36:43.708Z,2025-12-14T15:36:43.708Z
16,0x0001,true,0x00000000,2025-12-14T15:36:43.708Z,2025-12-14T15:36:43.708Z
14,0x0001,true,0x00000000,2025-12-14T15:36:43.708Z,2025-12-14T15:36:43.708Z
