SourceTimeStamp,AVG_SPEED,JOB_DONE,claw_ccw,claw_cw,claw_pos,claw_pos_AI,claw_sp_pos,disturbance_pos_end,disturbance_pos_ini,disturbance_value,err,home,x_bwd,x_disturbance,x_done,x_filt_speed,x_fwd,x_pos,x_pos_AI,x_sp_pos,x_speed,y_bwd,y_disturbance,y_done,y_filt_speed,y_fwd,y_pos,y_pos_AI,y_sp_pos,y_speed,z_disturbance,z_done,z_dwn,z_filt_speed,z_pos,z_pos_AI,z_sp_pos,z_speed,z_up,client_id,has_fault
2025-12-14 15:36:21.708000+00:00,,,0.0,0.0,,0.0,0.0,10.0,0.0,1000.0,,0.0,1.0,,,-2.8005,0.0,,7077.0,2.0,,1.0,,,-1.56345,0.0,,7824.0,1.0,,,,1.0,,,7547.0,1.0,,0.0,B,1
2025-12-14 15:36:21.710000+00:00,-2.13476,0.0,,,0.0,,,,,,0.0,,,1000.0,0.0,,,2.55968,,,-5.40003,,1000.0,0.0,,,2.82986,,,-2.99841,1000.0,0.0,,-2.13476,2.72967,,,-4.10156,,B,1
2025-12-14 15:36:21.809000+00:00,,,,,,,,,,,,,0.0,,,-4.10026,,,6359.0,,,,,,-2.28093,,,7409.0,,,,,,,,6967.0,,,,B,1
2025-12-14 15:36:21.813000+00:00,-3.11816,,,,,,,,,,,,,,,,,2.29999,,,-2.59693,,,,,,2.67976,,,-1.50101,,,,-3.11816,2.51989,,,-2.0978,,B,1
2025-12-14 15:36:21.910000+00:00,-2.60798,,,,,,,,,,,,,,,-3.3486,,2.0298,5612.0,,-2.70182,,,,-1.89097,,2.53979,7022.0,,-1.39974,,,,-2.60798,2.31988,6414.0,,-2.00015,,B,1
2025-12-14 15:36:22.011000+00:00,-2.30406,,,,,,,,,,,,,,,-3.02521,,1.92998,5336.0,,-0.99826,,,,-1.64535,,2.38968,6607.0,,-1.50101,,,,-2.30406,2.10974,5833.0,,-2.10142,,B,1
2025-12-14 15:36:22.110000+00:00,-2.20274,,,,,,,,,,,,,,,-2.01174,,,,,0.0,,,,-1.57318,,2.23994,6193.0,,-1.4974,,,,-2.20274,1.90972,5280.0,,-2.00014,,B,1
2025-12-14 15:36:22.210000+00:00,,,,,,,,,,,,,,,,-1.00587,,,,,,,,,-1.53529,,,5778.0,,,,,,,,4700.0,,,,B,1
2025-12-14 15:36:22.212000+00:00,-2.10144,,,,,,,,,,,,,,,,,,,,,,,,,,2.08984,,,-1.50101,,,,-2.10144,1.69994,,,-2.0978,,B,1
2025-12-14 15:36:22.309000+00:00,,,,,,,,,,,,,,,,-0.50293,,,,,,,,,-1.51815,,,5308.0,,,,,,,,4008.0,,,,B,1
