PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
42,0x0001,false,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
41,0x0001,false,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
40,0x0001,true,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
39,0x000a,4.30049,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
38,0x000a,3.09968,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
37,0x000a,0,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
36,0x000a,2.1229,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
35,0x000a,1.53518,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
34,0x000a,0.00394344,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
33,0x000a,0,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
32,0x000a,0,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
31,0x000a,0,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
30,0x0004,0,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
29,0x0004,0,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
28,0x0004,0,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
27,0x0001,false,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
26,0x000a,5.32986,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
25,0x000a,3.84983,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
24,0x000a,8.22989,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
23,0x000a,2.1229,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
22,0x000a,1.53518,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
21,0x000a,0.00394344,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
20,0x0001,false,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
19,0x0001,false,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
18,0x0001,false,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
17,0x0001,true,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
16,0x0001,false,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
15,0x0001,true,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
14,0x0001,false,0x00000000,2025-12-14T15:16:02.949Z,2025-12-14T15:16:02.949Z
