PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
42,0x0001,true,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
41,0x0001,false,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
40,0x0001,true,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
39,0x000a,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
38,0x000a,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
37,0x000a,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
36,0x000a,-3.42549e-05,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
35,0x000a,-1.23581,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
34,0x000a,-4.4643e-05,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
33,0x000a,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
32,0x000a,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
31,0x000a,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
30,0x0004,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
29,0x0004,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
28,0x0004,0,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
27,0x0001,false,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
26,0x000a,3.9898,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
25,0x000a,3.72975,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
24,0x000a,4.23973,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
23,0x000a,-3.42549e-05,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
22,0x000a,-1.23581,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
21,0x000a,-4.4643e-05,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
20,0x0001,false,0x00000000,2025-12-14T15:30:33.587Z,2025-12-14T15:30:33.587Z
