PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp
42,0x0001,false,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
41,0x0001,false,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
40,0x0001,true,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
39,0x000a,-4.09795,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
38,0x000a,-3.00202,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
37,0x000a,0,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
36,0x000a,-2.18633,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
35,0x000a,-1.54898,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
34,0x000a,0.0370311,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
33,0x000a,0,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
32,0x000a,0,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
31,0x000a,0,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
30,0x0004,1000,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
29,0x0004,1000,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
28,0x0004,1000,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
27,0x0001,false,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
26,0x000a,5.30997,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
25,0x000a,5.51975,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
24,0x000a,5.21991,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
23,0x000a,-2.18633,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
22,0x000a,-1.54898,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
21,0x000a,0.0370311,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
20,0x0001,false,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
19,0x0001,false,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
18,0x0001,true,0x00000000,2025-12-14T14:58:12.769Z,2025-12-14T14:58:12.769Z
